"Page3_Photo.jpg","06/11/2018","04/20/2018",,,,,
"Cumberland-River-Nashville-TN.jpg","04/20/2018","04/20/2018","iStock Photo/SeanPavonePhoto","Nashville TN",,"Nashville",
"Memphis-TN.jpg","04/20/2018","04/20/2018","iStock Photo/skodonnell","Memphis TN",,"Memphis",
"Smoky-Mountains-TN.jpg","04/20/2018","04/20/2018","iStock Photo/WerksMedia","Smoky Mountain National Park",,"Tennessee",
"UT-Knoxville-TN.jpg","04/20/2018","04/20/2018","Courtesy of  Wyoming_Jackrabbit  under a  CC 2.0  license.","Knoxville TN",,"Knoxville",
"St.Jude-Memphis-TN.jpg","04/20/2018","04/20/2018","Courtesy of  Ginny  under a  CC 2.0  license.","Memphis TN",,"Memphis",
"CatbirdSeat-Nashville-TN.jpg","04/20/2018","04/20/2018","Courtesy of  Lou Stejskal under a  CC 2.0  license.","Nashville TN",,"Nashville",
"Murfreesboro-TN.jpg","04/20/2018","04/20/2018","iStock Photo/csfotoimages","Murfreesboro TN",,"Murfreesboro",
"Chattanooga-TN.jpg","04/20/2018","04/20/2018","iStock Photo/DenisTangneyJr","TN Aquarium",,"Chattanooga",
"30744712664_d9d2f0910b_k.jpg","04/21/2018","04/21/2018","Courtesy of dogman5 under a  CC 4.0  license.",,,,
"Top10_New College Grads_2018.png","04/23/2018","04/23/2018",,,,,
"Albany-NY-Daylight-Skyline.jpg","04/23/2018","04/23/2018","iStock Photo/DenisTangneyJr","Albany, NY",,"Albany",
"SWLA Things.jpg","04/25/2018","04/25/2018","Courtesy of Jennifer Huber under a  CC 4.0  license.",,,,
"SWLA Great place.jpg","04/25/2018","04/25/2018","Courtesy of Dan Thibodeaux under a  CC 4.0  license.",,,,
"SWLA reasons.jpg","04/25/2018","04/25/2018","Courtesy of Gene Jackson under a  CC 4.0  license.",,,,
"Madison-WI-Downtown-Triangle.jpg","04/25/2018","04/25/2018","iStock Photo/csfotoimages","Madison WI",,"Madison",
"UnivMadison-WI-Winter.jpg","04/25/2018","04/25/2018","iStock Photo/Onnes","Madison WI",,"Madison",
