163111,"Louisville, TN"
120106,"Grand Chute, WI"
120082,"Fox Crossing, WI"
109208,"Rising Sun"
106188,"Bloomfield, IA"
102437,"Mount Vernon, IA"
101266,"Palisade, CO"
92797,"Sturbridge, MA"
90210,"Huxley, IA"
90514,"Townsend, TN"
90506,"Friendsville, TN"
90223,"Hagerman, ID"
90222,"Dodgeville, WI"
90221,"Glade Spring, VA"
90220,"Emory, VA"
90219,"Mount Pleasant, TN"
90218,"Coopertown, TN"
90217,"Whitehall, MI"
90216,"Montague, MI"
90215,"Fruitport, MI"
90213,"Charlevoix, MI"
90211,"Story City, IA"
90212,"Boyne City, MI"
90208,"Winchester, IN"
90207,"Shoshone, ID"
90206,"Gooding, ID"
90205,"Buhl, ID"
90209,"Gilbert, IA"
64271,"Okaloosa Island, FL"
64269,"Burbank, CA"
64268,"Chandler, AZ"
64267,"Buckeye, AZ"
64266,"Sterling, AK"
64265,"Oneonta, AL"
64264,"Walnut Grove, WA"
64263,"Klahanie CDP, WA"
64262,"Tysons Corner, VA"
64261,"New Territory, TX"
64260,"Greatwood, TX"
64259,"East Garden City, NY"
64258,"Westport, CT"
64257,"West Haven, CT"
64256,"Torrington, CT"
64255,"Thompsonville, CT"
64254,"Terryville, CT"
64253,"Stamford, CT"
64252,"Shelton, CT"
64251,"Riverside, CT"
64250,"Orange, CT"
64249,"Norwich, CT"
64248,"New London, CT"
64247,"Newington, CT"
64245,"Middletown, CT"
64244,"Meriden, CT"
64243,"Groton, CT"
64242,"Greenwich, CT"
64241,"Derby, CT"
64240,"Danbury, CT"
64239,"Bristol, CT"
64238,"Bethel, CT"
64237,"Sterling, CO"
64235,"Lone Tree, CO"
64234,"Gunnison, CO"
64233,"Greeley, CO"
64232,"Grand Junction, CO"
64231,"Golden, CO"
64230,"Frederick, CO"
64229,"Fountain, CO"
64228,"Fairmount, CO"
64227,"Evergreen, CO"
64226,"Englewood, CO"
64225,"Edwards, CO"
64224,"Edgewater, CO"
64223,"Eaton, CO"
64222,"Durango, CO"
64221,"Derby, CO"
64220,"Denver, CO"
64219,"Delta, CO"
64218,"Clifton, CO"
64217,"Breckenridge, CO"
64214,"Woodside, CA"
64213,"Woodland, CA"
64212,"Winters, CA"
64211,"Windsor, CA"
64210,"Wilton, CA"
64209,"Willowbrook, CA"
64208,"Westminster, CA"
64207,"Wasco, CA"
64206,"Walnut, CA"
64205,"Vincent, CA"
64204,"Ukiah, CA"
64203,"Twin Lakes, CA"
64202,"Tracy, CA"
64201,"Templeton, CA"
64200,"Temple City, CA"
64199,"Taft, CA"
64198,"Stockton, CA"
64197,"Stanton, CA"
64196,"South Pasadena, CA"
64195,"Seaside, CA"
64193,"Santa Clara, CA"
64192,"San Marcos, CA"
64191,"San Lorenzo, CA"
64190,"Sanger, CA"
64189,"San Diego, CA"
64187,"Rossmoor, CA"
64185,"Roseland, CA"
64184,"Rosedale, CA"
64183,"Rodeo, CA"
64182,"Ripon, CA"
64181,"Rio Vista, CA"
64180,"Richmond, CA"
64179,"Redding, CA"
64178,"Pomona, CA"
64176,"Pleasant Hill, CA"
64175,"Placerville, CA"
64174,"Pittsburg, CA"
64172,"Paradise, CA"
64171,"Oroville, CA"
64170,"Orange, CA"
64169,"Ontario, CA"
64168,"Oasis, CA"
64167,"Oakley, CA"
64166,"Oakland, CA"
64165,"Oak Hills, CA"
64164,"Oakdale, CA"
64163,"Norwalk, CA"
64162,"Newman, CA"
64160,"Mentone, CA"
64159,"Mendota, CA"
64158,"Marysville, CA"
64157,"Manhattan Beach, CA"
64156,"McFarland, CA"
64155,"Long Beach, CA"
64154,"Lodi, CA"
64153,"Livermore, CA"
64152,"Live Oak, CA"
64151,"Lindsay, CA"
64150,"Lathrop, CA"
64149,"Las Flores, CA"
64148,"La Presa, CA"
64147,"Lancaster, CA"
64146,"Lamont, CA"
64145,"Lakewood, CA"
64144,"Lakeside, CA"
64143,"Lake Forest, CA"
64142,"Lake Arrowhead, CA"
64141,"Lafayette, CA"
64140,"La Cañada Flintridge, CA"
64139,"King City, CA"
64138,"Kensington, CA"
64136,"Ione, CA"
64135,"Imperial, CA"
64134,"Huron, CA"
64133,"Homeland, CA"
64132,"Hollister, CA"
64131,"Hillsborough, CA"
64130,"Hayward, CA"
64129,"Hawthorne, CA"
64128,"Gridley, CA"
64127,"Greenfield, CA"
64126,"Grass Valley, CA"
64125,"Good Hope, CA"
64124,"Gonzales, CA"
64123,"Garden Grove, CA"
64122,"Gardena, CA"
64121,"Galt, CA"
64119,"Fremont, CA"
64118,"Fowler, CA"
64117,"Fortuna, CA"
